Type,confidence_value
car,96
Type,confidence_value
bus,99
Type,confidence_value
bus,78
Type,confidence_value
car,97
Type,confidence_value
bus,88
Type,confidence_value
car,96
Type,confidence_value
car,97
Type,confidence_value
car,97
Type,confidence_value
car,99
Type,confidence_value
car,82
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,89
Type,confidence_value
car,99
Type,confidence_value
car,66
Type,confidence_value
car,65
Type,confidence_value
car,83
Type,confidence_value
car,57
Type,confidence_value
car,80
Type,confidence_value
motorbike,62
Type,confidence_value
car,79
Type,confidence_value
car,70
Type,confidence_value
car,72
Type,confidence_value
car,89
Type,confidence_value
car,97
Type,confidence_value
car,88
Type,confidence_value
car,85
Type,confidence_value
motorbike,71
Type,confidence_value
motorbike,81
Type,confidence_value
bicycle,61
Type,confidence_value
car,95
Type,confidence_value
bus,98
Type,confidence_value
bus,86
Type,confidence_value
car,87
Type,confidence_value
bus,88
Type,confidence_value
car,97
Type,confidence_value
car,98
Type,confidence_value
car,95
Type,confidence_value
car,99
Type,confidence_value
car,79
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,95
Type,confidence_value
car,99
Type,confidence_value
car,65
Type,confidence_value
car,63
Type,confidence_value
car,89
Type,confidence_value
car,66
Type,confidence_value
car,86
Type,confidence_value
car,53
Type,confidence_value
car,72
Type,confidence_value
car,70
Type,confidence_value
car,83
Type,confidence_value
car,90
Type,confidence_value
car,93
Type,confidence_value
car,95
Type,confidence_value
car,86
Type,confidence_value
car,93
Type,confidence_value
motorbike,55
Type,confidence_value
motorbike,78
Type,confidence_value
car,94
Type,confidence_value
car,81
Type,confidence_value
bus,98
Type,confidence_value
bus,91
Type,confidence_value
bus,91
Type,confidence_value
car,97
Type,confidence_value
car,98
Type,confidence_value
car,95
Type,confidence_value
car,99
Type,confidence_value
car,78
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,98
Type,confidence_value
car,99
Type,confidence_value
car,64
Type,confidence_value
car,90
Type,confidence_value
car,69
Type,confidence_value
car,85
Type,confidence_value
motorbike,50
Type,confidence_value
car,86
Type,confidence_value
car,67
Type,confidence_value
car,71
Type,confidence_value
car,54
Type,confidence_value
car,87
Type,confidence_value
car,87
Type,confidence_value
car,94
Type,confidence_value
car,82
Type,confidence_value
car,87
Type,confidence_value
car,92
Type,confidence_value
motorbike,79
Type,confidence_value
motorbike,57
Type,confidence_value
motorbike,81
Type,confidence_value
car,95
Type,confidence_value
car,85
Type,confidence_value
bus,97
Type,confidence_value
car,76
Type,confidence_value
bus,91
Type,confidence_value
car,88
Type,confidence_value
bus,91
Type,confidence_value
car,97
Type,confidence_value
car,98
Type,confidence_value
car,94
Type,confidence_value
car,98
Type,confidence_value
car,71
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,98
Type,confidence_value
car,59
Type,confidence_value
car,99
Type,confidence_value
car,68
Type,confidence_value
car,90
Type,confidence_value
car,66
Type,confidence_value
car,86
Type,confidence_value
motorbike,56
Type,confidence_value
car,88
Type,confidence_value
car,79
Type,confidence_value
car,71
Type,confidence_value
car,78
Type,confidence_value
car,74
Type,confidence_value
car,86
Type,confidence_value
car,50
Type,confidence_value
car,94
Type,confidence_value
motorbike,62
Type,confidence_value
motorbike,60
Type,confidence_value
motorbike,82
Type,confidence_value
car,90
Type,confidence_value
car,75
Type,confidence_value
bus,95
Type,confidence_value
bus,85
Type,confidence_value
bus,88
Type,confidence_value
car,97
Type,confidence_value
car,97
Type,confidence_value
car,92
Type,confidence_value
car,98
Type,confidence_value
car,74
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,97
Type,confidence_value
car,99
Type,confidence_value
car,66
Type,confidence_value
car,59
Type,confidence_value
car,90
Type,confidence_value
car,65
Type,confidence_value
car,77
Type,confidence_value
car,87
Type,confidence_value
car,72
Type,confidence_value
car,74
Type,confidence_value
car,91
Type,confidence_value
car,70
Type,confidence_value
car,89
Type,confidence_value
car,83
Type,confidence_value
car,82
Type,confidence_value
car,93
Type,confidence_value
motorbike,79
Type,confidence_value
motorbike,67
Type,confidence_value
car,95
Type,confidence_value
car,79
Type,confidence_value
bus,97
Type,confidence_value
bus,83
Type,confidence_value
bus,90
Type,confidence_value
car,97
Type,confidence_value
car,98
Type,confidence_value
car,94
Type,confidence_value
car,97
Type,confidence_value
car,68
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,96
Type,confidence_value
car,99
Type,confidence_value
car,67
Type,confidence_value
car,59
Type,confidence_value
car,88
Type,confidence_value
car,63
Type,confidence_value
car,84
Type,confidence_value
car,82
Type,confidence_value
car,83
Type,confidence_value
car,76
Type,confidence_value
car,77
Type,confidence_value
car,61
Type,confidence_value
car,66
Type,confidence_value
car,78
Type,confidence_value
car,88
Type,confidence_value
car,93
Type,confidence_value
car,89
Type,confidence_value
motorbike,88
Type,confidence_value
motorbike,80
Type,confidence_value
bicycle,60
Type,confidence_value
car,96
Type,confidence_value
car,76
Type,confidence_value
bus,98
Type,confidence_value
bus,88
Type,confidence_value
bus,92
Type,confidence_value
car,96
Type,confidence_value
car,98
Type,confidence_value
car,90
Type,confidence_value
car,95
Type,confidence_value
car,66
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,97
Type,confidence_value
car,99
Type,confidence_value
car,72
Type,confidence_value
car,61
Type,confidence_value
car,88
Type,confidence_value
car,56
Type,confidence_value
car,70
Type,confidence_value
car,92
Type,confidence_value
car,87
Type,confidence_value
car,76
Type,confidence_value
car,68
Type,confidence_value
car,70
Type,confidence_value
car,72
Type,confidence_value
car,94
Type,confidence_value
car,92
Type,confidence_value
car,88
Type,confidence_value
motorbike,71
Type,confidence_value
motorbike,74
Type,confidence_value
bicycle,69
Type,confidence_value
bus,98
Type,confidence_value
bus,81
Type,confidence_value
bus,91
Type,confidence_value
car,95
Type,confidence_value
car,98
Type,confidence_value
car,88
Type,confidence_value
car,87
Type,confidence_value
car,99
Type,confidence_value
car,99
Type,confidence_value
car,88
Type,confidence_value
car,96
Type,confidence_value
bus,71
Type,confidence_value
car,98
Type,confidence_value
car,70
Type,confidence_value
car,57
Type,confidence_value
car,86
Type,confidence_value
car,63
Type,confidence_value
car,68
Type,confidence_value
car,94
Type,confidence_value
car,91
Type,confidence_value
car,77
Type,confidence_value
car,84
Type,confidence_value
car,70
Type,confidence_value
car,79
Type,confidence_value
car,95
Type,confidence_value
car,89
Type,confidence_value
car,78
Type,confidence_value
motorbike,74
Type,confidence_value
motorbike,54
Type,confidence_value
bicycle,62
Type,confidence_value
car,95
Type,confidence_value
car,94
Type,confidence_value
car,98
Type,confidence_value
motorbike,73
Type,confidence_value
car,54
Type,confidence_value
car,61
Type,confidence_value
car,70
Type,confidence_value
car,76
Type,confidence_value
car,98
Type,confidence_value
motorbike,87
Type,confidence_value
motorbike,89
Type,confidence_value
car,88
Type,confidence_value
car,91
Type,confidence_value
car,98
Type,confidence_value
motorbike,80
Type,confidence_value
car,57
Type,confidence_value
car,71
Type,confidence_value
car,76
Type,confidence_value
car,98
Type,confidence_value
motorbike,50
Type,confidence_value
motorbike,75
Type,confidence_value
motorbike,84
Type,confidence_value
car,91
Type,confidence_value
car,95
Type,confidence_value
car,98
Type,confidence_value
motorbike,85
Type,confidence_value
car,50
Type,confidence_value
car,65
Type,confidence_value
car,75
Type,confidence_value
car,98
Type,confidence_value
motorbike,56
Type,confidence_value
motorbike,82
Type,confidence_value
motorbike,92
Type,confidence_value
car,95
Type,confidence_value
car,94
Type,confidence_value
car,98
Type,confidence_value
motorbike,90
Type,confidence_value
car,58
Type,confidence_value
car,62
Type,confidence_value
car,98
Type,confidence_value
motorbike,66
Type,confidence_value
motorbike,81
Type,confidence_value
motorbike,90
Type,confidence_value
car,94
Type,confidence_value
car,91
Type,confidence_value
car,99
Type,confidence_value
motorbike,67
Type,confidence_value
car,60
Type,confidence_value
car,98
Type,confidence_value
motorbike,68
Type,confidence_value
motorbike,72
Type,confidence_value
motorbike,78
Type,confidence_value
truck,98
Type,confidence_value
truck,74
Type,confidence_value
bus,81
Type,confidence_value
car,96
Type,confidence_value
truck,72
Type,confidence_value
car,98
Type,confidence_value
truck,98
Type,confidence_value
truck,74
Type,confidence_value
truck,69
Type,confidence_value
car,98
Type,confidence_value
truck,69
Type,confidence_value
car,97
Type,confidence_value
truck,97
Type,confidence_value
bus,73
Type,confidence_value
truck,80
Type,confidence_value
car,95
Type,confidence_value
truck,79
Type,confidence_value
car,96
Type,confidence_value
truck,96
Type,confidence_value
bus,75
Type,confidence_value
truck,82
Type,confidence_value
truck,68
Type,confidence_value
car,89
Type,confidence_value
car,95
Type,confidence_value
truck,98
Type,confidence_value
truck,91
Type,confidence_value
truck,78
Type,confidence_value
truck,75
Type,confidence_value
car,97
Type,confidence_value
car,94
Type,confidence_value
truck,97
Type,confidence_value
truck,61
Type,confidence_value
truck,72
Type,confidence_value
truck,72
Type,confidence_value
car,97
Type,confidence_value
car,94
Type,confidence_value
truck,96
Type,confidence_value
truck,79
Type,confidence_value
truck,84
Type,confidence_value
truck,76
Type,confidence_value
car,96
Type,confidence_value
car,95
Type,confidence_value
truck,96
Type,confidence_value
truck,81
Type,confidence_value
truck,81
Type,confidence_value
truck,79
Type,confidence_value
car,96
Type,confidence_value
car,91
Type,confidence_value
truck,96
Type,confidence_value
truck,87
Type,confidence_value
bus,70
Type,confidence_value
truck,71
Type,confidence_value
car,97
Type,confidence_value
car,91
Type,confidence_value
truck,98
Type,confidence_value
truck,78
Type,confidence_value
truck,63
Type,confidence_value
bus,82
Type,confidence_value
car,98
Type,confidence_value
car,89
Type,confidence_value
truck,96
Type,confidence_value
truck,70
Type,confidence_value
truck,59
Type,confidence_value
truck,51
Type,confidence_value
truck,58
Type,confidence_value
car,97
Type,confidence_value
car,90
Type,confidence_value
truck,98
Type,confidence_value
truck,82
Type,confidence_value
truck,56
Type,confidence_value
truck,57
Type,confidence_value
truck,56
Type,confidence_value
bus,68
Type,confidence_value
truck,61
Type,confidence_value
car,98
Type,confidence_value
car,86
Type,confidence_value
car,98
Type,confidence_value
car,98
Type,confidence_value
car,93
Type,confidence_value
car,90
Type,confidence_value
car,89
Type,confidence_value
car,62
Type,confidence_value
motorbike,79
Type,confidence_value
motorbike,96
Type,confidence_value
car,98
Type,confidence_value
car,97
Type,confidence_value
car,91
Type,confidence_value
car,99
Type,confidence_value
motorbike,97
Type,confidence_value
motorbike,78
Type,confidence_value
car,71
Type,confidence_value
car,99
Type,confidence_value
car,66
Type,confidence_value
car,91
Type,confidence_value
car,88
Type,confidence_value
car,97
Type,confidence_value
car,97
Type,confidence_value
car,92
Type,confidence_value
car,86
Type,confidence_value
truck,58
Type,confidence_value
motorbike,93
Type,confidence_value
motorbike,97
Type,confidence_value
car,96
Type,confidence_value
car,97
Type,confidence_value
car,93
Type,confidence_value
car,99
Type,confidence_value
motorbike,96
Type,confidence_value
motorbike,76
Type,confidence_value
car,72
Type,confidence_value
car,98
Type,confidence_value
car,72
Type,confidence_value
car,82
Type,confidence_value
car,77
Type,confidence_value
car,59
Type,confidence_value
car,97
Type,confidence_value
car,97
Type,confidence_value
car,92
Type,confidence_value
car,86
Type,confidence_value
truck,58
Type,confidence_value
motorbike,93
Type,confidence_value
motorbike,97
Type,confidence_value
car,96
Type,confidence_value
car,96
Type,confidence_value
car,93
Type,confidence_value
car,99
Type,confidence_value
motorbike,96
Type,confidence_value
motorbike,76
Type,confidence_value
car,71
Type,confidence_value
car,98
Type,confidence_value
car,71
Type,confidence_value
car,81
Type,confidence_value
car,76
Type,confidence_value
car,60
Type,confidence_value
car,96
Type,confidence_value
car,98
Type,confidence_value
car,81
Type,confidence_value
truck,58
Type,confidence_value
motorbike,91
Type,confidence_value
motorbike,97
Type,confidence_value
car,96
Type,confidence_value
car,97
Type,confidence_value
car,92
Type,confidence_value
car,99
Type,confidence_value
motorbike,96
Type,confidence_value
motorbike,72
Type,confidence_value
car,76
Type,confidence_value
car,98
Type,confidence_value
car,68
Type,confidence_value
car,92
Type,confidence_value
car,58
Type,confidence_value
car,80
Type,confidence_value
car,50
Type,confidence_value
car,95
Type,confidence_value
car,98
Type,confidence_value
car,91
Type,confidence_value
truck,60
Type,confidence_value
car,52
Type,confidence_value
motorbike,91
Type,confidence_value
motorbike,95
Type,confidence_value
car,98
Type,confidence_value
car,97
Type,confidence_value
car,91
Type,confidence_value
car,99
Type,confidence_value
motorbike,93
Type,confidence_value
motorbike,82
Type,confidence_value
car,73
Type,confidence_value
car,98
Type,confidence_value
car,62
Type,confidence_value
car,93
Type,confidence_value
car,62
Type,confidence_value
car,77
Type,confidence_value
car,73
Type,confidence_value
motorbike,63
Type,confidence_value
car,95
Type,confidence_value
car,98
Type,confidence_value
car,83
Type,confidence_value
car,88
Type,confidence_value
truck,59
Type,confidence_value
car,58
Type,confidence_value
motorbike,91
Type,confidence_value
motorbike,90
Type,confidence_value
car,98
Type,confidence_value
car,97
Type,confidence_value
car,93
Type,confidence_value
car,99
Type,confidence_value
motorbike,94
Type,confidence_value
motorbike,81
Type,confidence_value
car,70
Type,confidence_value
car,98
Type,confidence_value
car,74
Type,confidence_value
car,82
Type,confidence_value
car,69
Type,confidence_value
motorbike,54
Type,confidence_value
car,84
Type,confidence_value
motorbike,97
Type,confidence_value
motorbike,98
Type,confidence_value
motorbike,61
Type,confidence_value
car,65
Type,confidence_value
motorbike,88
Type,confidence_value
motorbike,97
Type,confidence_value
motorbike,79
Type,confidence_value
car,89
Type,confidence_value
motorbike,97
Type,confidence_value
motorbike,95
Type,confidence_value
car,65
Type,confidence_value
motorbike,88
Type,confidence_value
motorbike,98
Type,confidence_value
motorbike,93
Type,confidence_value
car,85
Type,confidence_value
motorbike,99
Type,confidence_value
motorbike,98
Type,confidence_value
motorbike,72
Type,confidence_value
motorbike,67
Type,confidence_value
car,63
Type,confidence_value
motorbike,93
Type,confidence_value
motorbike,97
Type,confidence_value
motorbike,95
Type,confidence_value
motorbike,71
Type,confidence_value
car,80
Type,confidence_value
motorbike,98
Type,confidence_value
motorbike,98
Type,confidence_value
motorbike,77
Type,confidence_value
motorbike,70
Type,confidence_value
motorbike,93
Type,confidence_value
motorbike,98
Type,confidence_value
motorbike,96
Type,confidence_value
motorbike,70
Type,confidence_value
motorbike,69
Type,confidence_value
truck,82
Type,confidence_value
truck,87
Type,confidence_value
car,77
Type,confidence_value
car,50
Type,confidence_value
car,64
Type,confidence_value
car,50
Type,confidence_value
car,71
Type,confidence_value
car,89
Type,confidence_value
car,93
Type,confidence_value
car,70
Type,confidence_value
car,92
Type,confidence_value
car,58
Type,confidence_value
car,57
Type,confidence_value
car,81
Type,confidence_value
car,83
Type,confidence_value
car,84
Type,confidence_value
bicycle,55
Type,confidence_value
truck,82
Type,confidence_value
truck,87
Type,confidence_value
car,77
Type,confidence_value
car,50
Type,confidence_value
car,64
Type,confidence_value
car,50
Type,confidence_value
car,71
Type,confidence_value
car,89
Type,confidence_value
car,93
Type,confidence_value
car,70
Type,confidence_value
car,92
Type,confidence_value
car,58
Type,confidence_value
car,57
Type,confidence_value
car,81
Type,confidence_value
car,83
Type,confidence_value
car,84
Type,confidence_value
bicycle,54
Type,confidence_value
truck,77
Type,confidence_value
motorbike,60
Type,confidence_value
truck,92
Type,confidence_value
car,71
Type,confidence_value
car,70
Type,confidence_value
car,57
Type,confidence_value
car,68
Type,confidence_value
car,86
Type,confidence_value
car,91
Type,confidence_value
car,60
Type,confidence_value
car,92
Type,confidence_value
car,56
Type,confidence_value
car,57
Type,confidence_value
car,86
Type,confidence_value
car,77
Type,confidence_value
car,86
Type,confidence_value
motorbike,52
Type,confidence_value
truck,75
Type,confidence_value
truck,85
Type,confidence_value
car,52
Type,confidence_value
car,63
Type,confidence_value
car,63
Type,confidence_value
car,86
Type,confidence_value
car,89
Type,confidence_value
car,55
Type,confidence_value
car,91
Type,confidence_value
car,71
Type,confidence_value
car,66
Type,confidence_value
car,55
Type,confidence_value
car,85
Type,confidence_value
car,86
Type,confidence_value
motorbike,72
Type,confidence_value
bus,78
Type,confidence_value
truck,64
Type,confidence_value
motorbike,53
Type,confidence_value
car,58
Type,confidence_value
car,59
